Year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,North Carolina,North Dakota,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhodes Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
1980,0.0733213836404,1.25540604348,0.3715663741,-0.910863616931,1.03810135149,0.362586305706,0.512569262597,-0.501785561708,0.87451856499,1.21870516931,-1.44544899485,3.21341587187,0.999617921665,-0.337526056125,1.85900755075,1.82666527681,1.60568212293,2.67277907228,-0.100686232497,1.59244562397,-0.71303256556,1.25473247123,0.945723939958,-0.0659210505915,1.73748680162,1.24328316886,1.15855821062,1.20606694078,0.497916442185,0.0521744932145,0.684211730568,2.31369059179,0.637542822824,-0.112771114092,1.27052791354,2.87183298609,1.42503874813,0.627116373395,1.82106291286,1.10063238098,1.00320155482,-1.60283557799,2.02772315423,1.3702101966,-0.530498639536,0.321927217248,-0.788369637245,-0.0380378154025,-1.00974561363,1.93875685969,2.41048001136
1981,2.08965943375,0.833212121836,0.251816621858,-1.59331495072,0.0478376623102,1.56762091221,0.42768003141,-0.102475468275,0.620157209522,1.49294679414,-1.26407963856,0.545598699843,2.38331295827,1.43448573853,1.53422253772,0.660981264259,1.66239927465,0.997484995501,0.759037999092,0.962308859255,-0.485330560135,1.25473247123,0.550196449464,-1.11466503727,1.41341518928,2.36728455768,0.43543127379,1.14567732286,-0.455640517848,1.61740928965,1.26217940359,2.89998120906,-3.9733438068,0.00830216790863,0.660488720969,2.16173040402,1.34159858722,-0.075987638559,0.79963339443,0.969604716574,0.0542271110714,-0.552287914513,-0.0164521148416,1.13233297703,-0.42618710929,0.400537351692,-0.788369637245,-0.452227360897,-0.92806912466,1.43889321263,1.20524000568
1982,2.63956981105,0.629151726374,-0.0834826844202,-1.47144864111,0.175658932829,0.17429964844,0.682347724971,-0.317488595508,0.196221617075,1.12729129437,-0.323226102815,-0.36707559585,1.17257980124,-0.928196654343,1.17441168996,0.190224259191,1.06686918156,1.26989053644,0.929280421189,1.40340459455,-0.485330560135,-0.173066547756,0.449838727995,-0.611267923666,0.66805048088,1.80528386327,-2.21603416125,-0.18289427142,-0.214511171633,-0.730442905004,0.250735975798,1.65633444515,-0.237515953601,-0.693922867697,0.940559484838,1.22647334471,2.63492108135,0.688255852696,0.138708411915,0.183438730163,1.03381363365,0.708369281658,-0.246781722624,0.161182860441,-0.321875579045,-0.215242034788,-1.92622272193,-0.925586841461,-0.92806912466,0.814063653794,2.41048001136
1983,2.5479180815,0.263250327614,0.0123171173735,-1.73955452224,-0.0294169517394,0.965103608957,-0.279730228484,-0.440353239641,-0.566862449328,0.35378927562,-2.02356381803,1.31786156543,1.60498450018,0.371278661737,1.23809502584,-1.31171475698,1.12358633328,1.03834582664,0.163189521753,0.773267829841,-1.23674717804,0.346133095511,0.526582867942,-1.91171046715,-0.579625226654,0.440425033987,0.43543127379,0.360612289875,-0.674849014407,1.61740928965,-0.038247860715,0.199491093149,-1.38182358431,-0.984498744499,1.09186208141,0.360494586089,0.423756817199,-0.22883633681,-0.954822013701,-0.340671927445,-0.0376091254205,-0.342178381818,-0.966561746945,1.26109220597,-0.217564048799,-0.503479194417,-1.64175945076,0.0803020547387,-1.28200057686,0.397510614572,1.80786000852
1984,0.531580031393,0.333615981222,-0.370882089801,-1.45926201015,0.0520515503493,0.136642316987,-0.675879974024,-0.540180762999,-0.821223804796,0.55419661684,-1.0373679432,-0.296869880797,0.39425134315,0.489412781381,-1.54486675243,-1.04271075408,-0.294342459806,0.68421862342,-0.339025623433,0.741760991605,-1.36198328102,-0.692266191022,0.5088726818,-1.57611239141,-1.29258277382,-0.884290888551,1.52012167904,0.964508469093,-0.959820059934,1.09566435751,-1.04969128851,-0.0847710243152,-1.44913579788,-1.4930065289,0.678194343972,-0.0378556428769,0.256876495377,0.810534811296,-1.57969654262,-0.340671927445,-0.466178229049,-0.552287914513,-2.40612179559,0.946832392961,-0.94774476052,0.177808637433,0.633946718609,-0.215547620614,-1.58148103641,0.0226128792721,0.30131000142
1985,0.348276572292,0.439164461634,-0.251132337559,-1.26427591478,0.189705226292,0.588530294425,-0.449508690858,-0.739835809716,-0.142926856882,0.515521515903,-0.515931043872,0.334981554683,0.480732282938,-1.04633077399,-1.63083925588,-0.908208752635,0.613131967769,0.929383610266,-0.917849858562,0.48970628572,-1.53275978509,0.346133095511,1.49473971035,-0.988815758872,-0.595828807272,-0.282147287398,1.27907936676,0.481391525719,-0.60908646544,-0.469570438931,-0.182739778972,0.270556622515,0.536574502467,-1.3961479033,0.24843058562,-0.0638350056356,0.653217259705,0.382558456194,-1.33936018535,0.183438730163,-0.343729913727,-0.762397447208,-1.13930895278,1.03412678546,-0.530498639536,-0.398665681824,1.48733653212,0.316981795021,-1.0914221026,-0.518906071717,1.05458500497
1986,0.0733213836404,0.509530115241,0.0841669687187,-0.569637950038,0.574573667194,2.20779554691,0.22960515864,-0.701440608424,-0.142926856882,0.93391578968,0.560949509094,0.966832990163,0.0483275839991,-0.101257816837,0.35289665701,-1.33413175722,-0.0958324287741,0.793180839796,-0.270928654594,-0.297964670171,-1.00904517261,-0.302866458572,1.50064310573,-0.527368404732,0.376386029768,-0.683576354833,-2.09551300512,1.02489808701,-0.696769864063,-0.469570438931,0.684211730568,0.0573600344169,0.772167249966,-1.1782159957,0.441582836565,-0.0118762801182,0.694937340161,1.94161517835,-1.59171336049,-0.0786165986411,-0.374341992557,1.12858834705,0.789701512398,1.25018040691,-0.321875579045,-0.215242034788,0.0650201762676,0.0507170872034,-1.03697110995,1.35558260478,1.65720500781
1987,0.164973113191,0.00993397462696,-0.275082288007,-1.23990265286,0.442538508636,0.852131614598,0.62575490418,-0.156228750083,-0.142926856882,0.87414517914,-0.107849992222,1.03703870522,-1.76777215155,0.253144542094,-1.26147590773,-2.36531376832,-0.0107567011889,-1.35882293363,-1.52221045701,-0.865087758413,-1.39613858183,0.865332738778,2.00833510845,-0.191770328993,-0.466200162333,-0.362433100885,0.0,-0.786790450637,-0.652928164751,0.313046959287,2.12913091313,-0.688828023927,0.300981754968,-1.85622637491,0.761893652715,0.499051187469,0.340316656288,1.39135986465,-2.02431880359,0.838577052172,-0.251893677235,-0.342178381818,-0.649858536244,0.578013584639,-0.217564048799,0.125401881137,1.20287326095,0.908681145727,-0.383559198199,0.689097742027,-1.05458500497
1988,-1.48475801872,0.382871938747,0.419466274996,-0.752437414445,0.398994998899,0.663844957332,1.1633867017,0.995627288665,0.0266473800966,0.0,1.45646070577,0.615804414896,-0.297596175152,0.253144542094,0.830521676166,-0.280532745877,-1.93913985979,0.0,-0.926361979667,-0.581526214292,-0.405634858236,1.25473247123,1.32354124431,0.311626784614,-0.48240374295,-1.40614867622,-0.0466533507633,1.20606694078,-0.828294961999,1.09566435751,1.40667132185,0.537052357638,0.401950075325,-1.3235039341,1.18360940061,0.100700958503,0.277736535605,1.2385111664,-1.44751154612,0.838577052172,0.329735820547,0.0780406835725,-0.563484933326,0.512542790263,-1.05205629077,0.505350864284,0.0650201762676,1.4707955289,-1.00974561363,0.564131830261,-0.602620002841
1989,-0.476588993663,0.572859203488,0.491316126342,-0.935236878852,0.78807732784,-0.842448300795,1.61612926803,1.4870858652,-0.0581397383927,0.0,2.29529397861,0.89662727511,0.480732282938,-0.573794295412,1.10436002048,-1.2668807565,-0.719721097732,-0.350922432152,0.214262248382,-0.0144031260506,0.721490068618,2.55273157939,1.19956994132,-0.233720088461,-0.174535711221,-0.723719261577,0.314910117652,0.119053818189,0.070459873894,-1.51306030322,2.41811474965,0.0395936520754,-0.4731087011,-1.4687918725,0.893881024193,0.732865452297,-0.243764470091,0.841104550947,0.631397944335,2.14885369619,0.0542271110714,-0.972506979903,-1.59996816835,0.802796645332,-1.26067935126,0.885299847432,-0.219443094903,-0.363472458291,-0.165755227614,1.56385912439,0.602620002841
